,store,addr,lat,lng
156,구로하버라인점,"서울 구로구 항동로3길 6 (항동, 가온 프라자)",37.4808134179081,126.824263948518
157,구일역점,"서울 구로구 구일로 110 (구로동, 해원리버파크)",37.49494013521619,126.87192053744891
158,남구로역점,서울 구로구 디지털로27길 127 (가리봉동),37.49494013521619,126.87192053744891
159,성공회대점,서울 구로구 연동로 312 (항동),0.0,0.0
160,신도림메르디앙점,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)",0.0,0.0
161,신도림테크노마트점,서울 구로구 새말로 97 (구로동),0.0,0.0
162,오류북부역점,서울 구로구 경인로20길 6 (오류동),0.0,0.0
163,가산두산위브점,서울 금천구 가산로 111 (가산동),0.0,0.0
164,가산리더스타워점,서울 금천구 벚꽃로 286 (가산동),0.0,0.0
165,가산오거리점,"서울 금천구 가산로 155 (가산동, 케이디에스빌딩)",37.478860594893845,126.8901033556771
166,가산월드점,서울 금천구 가산디지털2로 123 (가산동),37.478860594893845,126.8901033556771
167,가산하이엔드10차점,"서울 금천구 가산디지털1로 30 (가산동, 에이스하이엔드타워10)",37.4688028726128,126.88749549372685
168,금천롯데마트점,"서울 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차)",37.4688028726128,126.88749549372685
169,독산동쌈지공원점,서울 금천구 독산로 276 (독산동),37.471350493002376,126.9032865178164
170,독산동점,"서울 금천구 독산로 218 (독산동, 창영빌딩)",37.46635783819566,126.90200430635853
171,박미삼거리점,서울 금천구 시흥대로 150 (시흥동),37.46635783819566,126.90200430635853
172,석수푸르지오점,"서울 금천구 삼성산길 11 (시흥동, 위너스타워)",37.43411234401002,126.90472649315366
173,세광교회점,서울 금천구 독산로 124 (시흥동),37.43411234401002,126.90472649315366
174,시흥동점,서울 금천구 시흥동,37.43411234401002,126.90472649315366
175,시흥유통센터점,"서울 금천구 시흥대로 88 (시흥동, 오복빌딩)",37.43411234401002,126.90472649315366
176,시흥중앙점,서울 금천구 금하로 748 (시흥동),37.43411234401002,126.90472649315366
177,은행나무사거리점,서울 금천구 금하로 690 (시흥동),37.43411234401002,126.90472649315366
178,공릉역점,서울 노원구 동일로192길 5 (공릉동),37.43411234401002,126.90472649315366
179,광운대점,서울 노원구 광운로 29 (월계동),37.43411234401002,126.90472649315366
180,노원중앙점,서울 노원구 노원로 452 (상계동),37.43411234401002,126.90472649315366
181,당고개역점,서울 노원구 상계로 313 (상계동),37.43411234401002,126.90472649315366
182,상계동점,서울 노원구 한글비석로52길 8 (상계동),0.0,0.0
183,상계상록스토아점,"서울 노원구 동일로227길 26 (상계동, 상계주공15단지아파트)",37.6701880464645,127.054677638301
184,상계역사거리점,서울 노원구 한글비석로 409 (상계동) 1~2층,37.6701880464645,127.054677638301
185,상계역점,서울 노원구 덕릉로 698 (중계동),37.6701880464645,127.054677638301
186,상계중앙점,서울 노원구 동일로 1650 (상계동),37.6701880464645,127.054677638301
187,서울여대점,서울 노원구 노원로 3 (공릉동),0.0,0.0
188,수락산역점,"서울 노원구 동일로 1689 (상계동, 하이베라스)",0.0,0.0
189,원자력병원점,서울 노원구 공릉로46길 6 (공릉동),0.0,0.0
190,월계이마트점,"서울 노원구 마들로3길 15 (월계동, 월계이마트)",37.6265093604229,127.061979778612
191,월계인덕점,서울 노원구 광운로22길 39 (월계동),37.6265093604229,127.061979778612
192,중계롯데우성점,서울 노원구 노원로22길 70 (중계동),37.6265093604229,127.061979778612
193,중계본동점,서울 노원구 중계로14바길 2 (중계동),37.649884209754255,127.0826133945026
194,중계점,서울 노원구 동일로204가길 34 (중계동),37.649884209754255,127.0826133945026
195,태릉입구역점,"서울 노원구 공릉로 105 (공릉동, 성종빌딩)",37.6196132389484,127.077885277951
196,하계을지점,서울 노원구 공릉로 326 (하계동),37.6196132389484,127.077885277951
197,덕성여대점,서울 도봉구 삼양로 542 (쌍문동),37.6516084987977,127.01319601269354
198,도봉구청점,"서울 도봉구 도봉로150길 43 (방학동, ESA 아파트)",37.6516084987977,127.01319601269354
199,도봉산점,서울 도봉구 도봉산길 18 (도봉동),37.68753761913406,127.04374413595103
200,도봉중앙점,서울 도봉구 도봉로181길 18 (도봉동),37.68753761913406,127.04374413595103
201,방학역점,서울 도봉구 도봉로153길 15 (방학동),0.0,0.0
202,방학점,서울 도봉구 방학로 171 (방학동),0.0,0.0
203,선덕고사거리점,"서울 도봉구 해등로 255 (쌍문동, 에벤에셀아파트)",0.0,0.0
204,솔밭공원역점,"서울 도봉구 삼양로 594 (쌍문동, 주함해븐빌)",37.6560582306343,127.013556949839
205,신창점,서울 도봉구 덕릉로 235 (창동),37.6389379513295,127.038109547969
206,쌍문동점,서울 도봉구 노해로 162 (쌍문동),37.648691425654484,127.02717853006696
207,쌍문역점,서울 도봉구 도봉로117길 4 (쌍문동),37.6494415919409,127.034706714207
208,창동대우점,서울 도봉구 덕릉로63가길 30 (창동),37.64346473981549,127.03874807786094
209,창동역점,서울 도봉구 마들로11길 65 (창동),37.6534171446527,127.049667391336
210,창동제일점,서울 도봉구 노해로70길 81 (창동),37.64890361348041,127.05250451283374
211,창동하나로마트점,"서울 도봉구 마들로11길 20 (창동, 농협창동유통센타)",37.654796530681296,127.05139242088684
212,창동학원가점,서울 도봉구 해등로16길 61 (창동),37.654796530681296,127.05139242088684
213,경희대점,서울 동대문구 경희대로 4 (회기동),37.59203327648363,127.05250416385545
214,경희대캠퍼스점,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",37.595279710668244,127.05111084006764
215,답십리사거리점,서울 동대문구 답십리로 145 (답십리동),37.573052190180896,127.05611323484102
216,답십리파크자이점,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)",37.5669101962131,127.061880899304
217,동대문구청점,서울 동대문구 천호대로 153-1 (용두동),37.5736135434364,127.040640800113
218,동부병원사거리점,서울 동대문구 무학로 104 (용두동),37.5736135434364,127.040640800113
219,배봉초교사거리점,서울 동대문구 답십리로63길 131 (장안동),37.5736135434364,127.040640800113
220,서울시립대점,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)",37.58327457593998,127.0548189288785
221,신설동역점,서울 동대문구 천호대로 11-3 (신설동),37.57504733413244,127.02493296369806
222,용두동사거리점,서울 동대문구 왕산로 68 (용두동),37.57504733413244,127.02493296369806
223,용두동점,서울 동대문구 고산자로 413-1 (용두동),37.57504733413244,127.02493296369806
224,이문점 ,서울 동대문구 신이문로 19 (이문동),37.57504733413244,127.02493296369806
225,장안동사거리점,서울 동대문구 답십리로 309 (장안동),37.57504733413244,127.02493296369806
226,장안중랑천점,서울 동대문구 장한로18길 32 (장안동),37.56754823943685,127.07077591338621
227,장안중앙점,서울 동대문구 사가정로25길 42 (장안동),37.56754823943685,127.07077591338621
228,장한평군자초교점,서울 동대문구 한천로2길 53 (장안동),37.562872788703984,127.06144791110913
229,전농사거리점,서울 동대문구 사가정로 132 (전농동),37.562872788703984,127.06144791110913
230,청량리점,서울 동대문구 왕산로 225 (청량리동),0.0,0.0
231,촬영소사거리점,서울 동대문구 답십리로 264 (장안동),0.0,0.0
232,회기역중앙점,서울 동대문구 회기로 194-1 (휘경동),37.58980550001833,127.05749583678211
233,남성역점,서울 동작구 사당로17가길 13 (사당동),37.58980550001833,127.05749583678211
234,노들점,서울 동작구 노량진로 200 (노량진동),0.0,0.0
235,노량진CTS점,서울 동작구 노량진로 110 (노량진동),0.0,0.0
236,노량진드림스퀘어점,"서울 동작구 노들로2길 7 (노량진동, 노량진 드림스퀘어 복합빌딩)",37.514162523894726,126.93865425871968
237,노량진역사점,"서울 동작구 노량진로 지하 130 (노량진동, 9호선 노량진역)",37.513574825476404,126.94082532227891
238,대방역점,"서울 동작구 노량진로 24 (대방동, 한신빌딩)",37.51290838049896,126.92834765518518
239,보라매공원점,서울 동작구 여의대방로 90 (신대방동),0.0,0.0
240,보라매점,"서울 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)",0.0,0.0
241,사당역점,서울 동작구 동작대로7길 100 (사당동),0.0,0.0
242,상도역점,서울 동작구 상도로 277 (상도1동),0.0,0.0
243,상도중앙점,서울 동작구 만양로 17 (상도동),37.50632113638169,126.94715442128768
244,상도파크엘점,"서울 동작구 양녕로 220 (상도동, 상도역 롯데캐슬 파크엘)",37.5007111108525,126.945556219571
245,신대방삼거리점,서울 동작구 상도로 78 (대방동),37.499545156936364,126.92914752489297
246,이수중앙점,서울 동작구 사당로 285 (사당동),37.499545156936364,126.92914752489297
247,중앙대점,서울 동작구 흑석로 79 (흑석동),0.0,0.0
248,중앙대후문점,서울 동작구 흑석로 20 (상도동),37.5048307436215,126.9530308556
249,총신대점,"서울 동작구 사당로16가길 96 (사당동) 1,2층",0.0,0.0
250,해군회관점,서울 동작구 여의대방로 194 (대방동),0.0,0.0
251,흑석역점,서울 동작구 현충로 100-1 (흑석동),37.5076446931125,126.964738341052
252,공덕롯데캐슬점,"서울 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)",37.5451188164137,126.950886259458
253,대흥역점,서울 마포구 백범로 100 (대흥동),0.0,0.0
254,마포공덕역점,서울 마포구 새창로 6 (도화동),37.54203652124145,126.95051136853505
255,마포성산시영점,서울 마포구 월드컵북로 210 (성산동),37.5692205219891,126.905804329554
256,마포점,서울 마포구 도화길 10 (도화동),0.0,0.0
257,망리단길점,"서울 마포구 포은로 81-1 (망원동, S-빌딩)",37.5543135567568,126.905265725284
258,망원역점,서울 마포구 월드컵로 82-1 (서교동),0.0,0.0
259,망원중앙점,서울 마포구 월드컵로 147 (망원동),0.0,0.0
260,상수역점,서울 마포구 와우산로 41-1 (상수동),0.0,0.0
261,상암한샘점,서울 마포구 성암로13길 58 (상암동),0.0,0.0
262,상암홈플러스점,서울 마포구 월드컵로 240 (성산동),0.0,0.0
263,서교동점,서울 마포구 와우산로29길 70 (서교동),0.0,0.0
264,성산점,서울 마포구 월드컵북로 137 (성산동),0.0,0.0
265,신촌그랑자이점,"서울 마포구 대흥로 183 (대흥동, 신촌그랑자이 상가)",37.5558352535218,126.945660437538
266,신촌숲아이파크점,"서울 마포구 광성로 17 (신수동, 신촌숲아이파크)",37.550314872049455,126.93551824572988
267,신촌하나로마트점,"서울 마포구 신촌로 66 (노고산동, 농협중앙회)",37.5560664973453,126.933116598433
268,애오개역점,서울 마포구 마포대로 208 (아현동),0.0,0.0
269,오벨리스크점,"서울 마포구 마포대로 33 (도화동, 마포 한화 오벨리스크)",0.0,0.0
270,합정LIG점,서울 마포구 양화로1길 21 (합정동),0.0,0.0
271,합정동점,서울 마포구 양화로6길 90 (합정동),0.0,0.0
272,합정역사거리점,서울 마포구 독막로2길 5 (합정동),0.0,0.0
273,합정홈플러스점,"서울 마포구 양화로 45 (서교동, 메세나폴리스)",0.0,0.0
274,홍대청기와점,서울 마포구 월드컵북로 7 (서교동),0.0,0.0
275,홍익대점,"서울 마포구 홍익로 10 (서교동, 서교푸르지오)",0.0,0.0
276,가재울중앙점,"서울 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)",0.0,0.0
277,명지대점,서울 서대문구 거북골로 35 (남가좌동),0.0,0.0
278,명지전문대점,서울 서대문구 가좌로 140 (홍은동),0.0,0.0
279,북가좌동점,서울 서대문구 증가로 257 (북가좌동),0.0,0.0
280,서대문구청점,서울 서대문구 연희로 237 (연희동),37.57824224353534,126.93569228371322
281,서대문점,서울 서대문구 냉천동,37.57824224353534,126.93569228371322
282,서울간호대점,서울 서대문구 간호대로 8 (홍제동),37.596698732359,126.94879760070489
283,신촌기차역점,서울 서대문구 신촌역로 35 (창천동),0.0,0.0
284,신촌역점,서울 서대문구 신촌로 87-20 (창천동),0.0,0.0
285,아현역점,"서울 서대문구 신촌로37길 10 (북아현동, 아현 메디컬)",37.5576654886412,126.957137829236
286,연남동점,서울 서대문구 연희로 42 (연희동),0.0,0.0
287,연세대점,서울 서대문구 연세로12길 10 (창천동),0.0,0.0
288,연세의료원ABMRC점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",37.563674036531,126.941917689273
289,연세의료원의과대학점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",37.563674036531,126.941917689273
290,연세의료원제중관점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",37.56204444440694,126.9396619657622
291,연세의료원종합관점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",37.56128805404262,126.94054256718223
292,연희홍연길점,서울 서대문구 홍제천로 146-9 (연희동),37.5763814406771,126.930025142924
293,충정로3가점,"서울 서대문구 경기대로 26-26 (충정로3가, 더스타일하우스디센트럴)",37.5610226183,126.962192415514
294,홍은사거리점,"서울 서대문구 통일로 510 (홍은동, 북한산 더샵)",37.5610226183,126.962192415514
295,강남센트럴시티점,"서울 서초구 신반포로 176 (반포동, 센트럴시티)",37.503934456230404,127.00241119724721
296,교대역점,"서울 서초구 서초대로56길 22 (서초동, 성운빌딩)",37.49348156830381,127.01711123409879
297,국립국악원점,"서울 서초구 남부순환로 2364 (서초동, 국립국악원)",37.4777188083482,127.009818464555
